jd_utc,alt_m,lat_deg,lon_deg,wx_rad_s,wy_rad_s,wz_rad_s
2.45155e+06,228449,0.0263187,-27.9412,-0.00349261,-0.00629701,-0.00188979
2.45155e+06,228407,-0.20483,-27.2652,-0.00343072,-0.00638759,-0.00193796
2.45155e+06,228367,-0.435957,-26.5891,-0.00336457,-0.00647908,-0.0019858
2.45155e+06,228329,-0.667033,-25.913,-0.00329951,-0.00656395,-0.00203375
2.45155e+06,228292,-0.898029,-25.2369,-0.00323712,-0.00664349,-0.00208148
2.45155e+06,228257,-1.12892,-24.5607,-0.00316813,-0.00672576,-0.00212846
2.45155e+06,228224,-1.35967,-23.8843,-0.00309918,-0.00680446,-0.00217401
2.45155e+06,228192,-1.59026,-23.2078,-0.0030347,-0.00687584,-0.00221557
2.45155e+06,228162,-1.82065,-22.5312,-0.00297764,-0.00693951,-0.00225426
2.45155e+06,228134,-2.05082,-21.8544,-0.00292794,-0.00699765,-0.00229141
2.45155e+06,228108,-2.28074,-21.1775,-0.0028812,-0.00704756,-0.00232372
2.45155e+06,228084,-2.51037,-20.5003,-0.00283035,-0.00709247,-0.00235333
2.45155e+06,228061,-2.73971,-19.8229,-0.00277821,-0.00713171,-0.0023785
2.45155e+06,228040,-2.9687,-19.1453,-0.00273071,-0.00716241,-0.00239575
2.45155e+06,228021,-3.19733,-18.4673,-0.00268776,-0.00718536,-0.0024077
2.45155e+06,228003,-3.42556,-17.7891,-0.00264747,-0.00720036,-0.00241488
2.45155e+06,227987,-3.65337,-17.1106,-0.0026018,-0.00721066,-0.00242081
2.45155e+06,227973,-3.88073,-16.4318,-0.00259457,-0.00721337,-0.00242199
2.45155e+06,227961,-4.10761,-15.7526,-0.00258798,-0.00721201,-0.00242141
2.45155e+06,227950,-4.33398,-15.0731,-0.00260543,-0.00721255,-0.00242026
2.45155e+06,227941,-4.55982,-14.3932,-0.00261727,-0.00721505,-0.00242071
2.45155e+06,227934,-4.78508,-13.7129,-0.00263091,-0.00721445,-0.00241881
2.45155e+06,227929,-5.00976,-13.0322,-0.00264305,-0.0072158,-0.0024175
2.45155e+06,227925,-5.23381,-12.351,-0.00264572,-0.00721298,-0.00241593
2.45155e+06,227923,-5.45721,-11.6694,-0.00264644,-0.00720674,-0.00241381
2.45155e+06,227923,-5.67993,-10.9873,-0.0026412,-0.00719759,-0.00241337
2.45155e+06,227925,-5.90194,-10.3047,-0.00263647,-0.00719168,-0.0024142
2.45155e+06,227928,-6.12321,-9.6216,-0.00263018,-0.00718879,-0.00241714
2.45155e+06,227933,-6.34371,-8.93797,-0.00262699,-0.00719047,-0.00241946
2.45155e+06,227939,-6.56343,-8.25381,-0.0026291,-0.00716026,-0.00241867
2.45155e+06,227947,-6.78232,-7.56908,-0.00264201,-0.0070927,-0.00241502
2.45155e+06,227957,-7.00035,-6.88378,-0.00266277,-0.00702082,-0.00241107
2.45155e+06,227969,-7.21751,-6.19788,-0.00268802,-0.00694877,-0.00240956
2.45155e+06,227982,-7.43376,-5.51137,-0.00271869,-0.00687846,-0.00240821
2.45155e+06,227997,-7.64907,-4.82423,-0.00275544,-0.00681053,-0.00240484
2.45155e+06,228013,-7.86342,-4.13645,-0.00279738,-0.00674338,-0.00240169
2.45155e+06,228031,-8.07677,-3.44801,-0.00284492,-0.00667408,-0.00240169
2.45155e+06,228051,-8.2891,-2.7589,-0.00289677,-0.00660584,-0.00240328
2.45155e+06,228073,-8.50038,-2.06909,-0.00294997,-0.00654262,-0.00240506
2.45155e+06,228095,-8.71058,-1.37859,-0.00300352,-0.00648395,-0.00240816
2.45155e+06,228120,-8.91968,-0.687362,-0.0030627,-0.00642496,-0.00241342
2.45155e+06,228146,-9.12763,0.00459582,-0.00312196,-0.00637047,-0.00241943
2.45155e+06,228174,-9.33443,0.6973,-0.00318477,-0.00631715,-0.00242903
2.45155e+06,228203,-9.54003,1.39076,-0.00326172,-0.00625704,-0.00244049
2.45155e+06,228234,-9.74441,2.085,-0.00334234,-0.00619825,-0.00245299
2.45155e+06,228266,-9.94755,2.78003,-0.00342549,-0.00614226,-0.00246564
2.45155e+06,228300,-10.1494,3.47585,-0.00350911,-0.00608986,-0.00247811
2.45155e+06,228335,-10.35,4.17248,-0.00358973,-0.00604257,-0.00249017
2.45155e+06,228372,-10.5492,4.86994,-0.00367225,-0.00599693,-0.00250184
2.45155e+06,228410,-10.747,5.56823,-0.00372467,-0.00597111,-0.00251169
2.45155e+06,228450,-10.9435,6.26736,-0.00377136,-0.00594997,-0.00252034
2.45155e+06,228491,-11.1386,6.96735,-0.00381436,-0.00593264,-0.00252791
2.45155e+06,228533,-11.3322,7.66821,-0.00387226,-0.00590971,-0.00253681
2.45155e+06,228577,-11.5243,8.36994,-0.00393405,-0.00588622,-0.00254549
2.45155e+06,228622,-11.715,9.07256,-0.0039971,-0.005861,-0.00255294
2.45155e+06,228669,-11.9041,9.77607,-0.00405862,-0.00583724,-0.00255975
2.45155e+06,228717,-12.0916,10.4805,-0.00409955,-0.00582151,-0.00256315
2.45155e+06,228766,-12.2776,11.1858,-0.00413379,-0.00580879,-0.00256583
2.45155e+06,228817,-12.462,11.892,-0.00416515,-0.00579755,-0.00256822
2.45155e+06,228869,-12.6447,12.5992,-0.00419447,-0.00578773,-0.00257077
2.45155e+06,228922,-12.8258,13.3073,-0.0042203,-0.00577917,-0.0025728
2.45155e+06,228977,-13.0052,14.0164,-0.00422395,-0.00577699,-0.00257217
2.45155e+06,229033,-13.1828,14.7263,-0.00422379,-0.00577667,-0.00257184
2.45155e+06,229090,-13.3588,15.4373,-0.00422486,-0.00577553,-0.0025713
2.45155e+06,229148,-13.5329,16.1492,-0.00422475,-0.00577521,-0.00257074
2.45155e+06,229208,-13.7053,16.862,-0.00422526,-0.00577475,-0.00257026
2.45155e+06,229268,-13.8758,17.5758,-0.00422581,-0.00577463,-0.00256995
2.45155e+06,229330,-14.0445,18.2906,-0.00422688,-0.00577633,-0.00256993
2.45155e+06,229393,-14.2113,19.0063,-0.00422729,-0.00577836,-0.00256965
2.45155e+06,229457,-14.3762,19.723,-0.00422444,-0.00578378,-0.00256927
2.45155e+06,229522,-14.5392,20.4407,-0.00421787,-0.00579811,-0.00256821
2.45155e+06,229588,-14.7003,21.1594,-0.00421315,-0.00580009,-0.00256744
2.45155e+06,229656,-14.8593,21.879,-0.00420325,-0.00578486,-0.00256712
2.45155e+06,229724,-15.0164,22.5996,-0.00418465,-0.00576889,-0.00256671
2.45155e+06,229793,-15.1714,23.3211,-0.00416074,-0.00575001,-0.0025671
2.45155e+06,229864,-15.3244,24.0437,-0.00412967,-0.00572947,-0.00256775
2.45155e+06,229935,-15.4753,24.7672,-0.00409061,-0.00570895,-0.00256773
